Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;11411.0;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;3530.0;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;1780.0;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;4700.0;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;;3805.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;2080.0;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;;1250.0;Apartamento
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;1285.0;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;7280.0;Apartamento
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;6540.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;2352.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;4384.0;Apartamento
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;;10000.0;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;8000.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;2166.0;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;6800.0;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;8200.0;Apartamento
Apartamento;Rocha Miranda;2;1;0;50;1100.0;;;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;2040.0;Apartamento
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;13689.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;2940.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;4300.0;Apartamento
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;1530.0;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;7220.0;Apartamento
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;1301.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;1800.0;Apartamento
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;4700.0;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;2250.0;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;1970.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;;;;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;4150.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;;3600.0;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;1715.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;4073.0;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;8480.0;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;4833.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;;2250.0;Apartamento
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;;1770.0;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;2330.0;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;;1898.0;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;8500.0;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;;5047.0;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;3250.0;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;3230.0;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;5250.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;;2732.0;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;;1520.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;2766.0;Apartamento
